experiment,parameter,value,run_index,duration_s,bytes_sent,segments_sent,rtt_ms
sr_window_sweep,N,1,1,35.381,1024000,2048,15.324
sr_window_sweep,N,1,2,36.332,1024000,2048,11.003
sr_window_sweep,N,1,3,32.251,1024000,2048,31.327
sr_window_sweep,N,1,4,35.037,1024000,2048,11.614
sr_window_sweep,N,1,5,33.474,1024000,2048,13.004
sr_window_sweep,N,2,1,30.628,1024000,2048,13.032
sr_window_sweep,N,2,2,26.849,1024000,2048,13.791
sr_window_sweep,N,2,3,25.531,1024000,2048,10.008
sr_window_sweep,N,2,4,25.509,1024000,2048,6.898
sr_window_sweep,N,2,5,27.806,1024000,2048,8.584
sr_window_sweep,N,4,1,19.2,1024000,2048,7.479
sr_window_sweep,N,4,2,24.795,1024000,2048,12.974
sr_window_sweep,N,4,3,23.273,1024000,2048,7.857
sr_window_sweep,N,4,4,23.424,1024000,2048,7.837
sr_window_sweep,N,4,5,23.844,1024000,2048,30.812
sr_window_sweep,N,8,1,17.748,1024000,2048,59.44
sr_window_sweep,N,8,2,20.863,1024000,2048,7.537
sr_window_sweep,N,8,3,20.797,1024000,2048,16.082
sr_window_sweep,N,8,4,17.812,1024000,2048,19.939
sr_window_sweep,N,8,5,17.825,1024000,2048,7.247
sr_window_sweep,N,16,1,15.057,1024000,2048,26.642
sr_window_sweep,N,16,2,13.123,1024000,2048,7.73
sr_window_sweep,N,16,3,14.629,1024000,2048,7.074
sr_window_sweep,N,16,4,14.362,1024000,2048,21.51
sr_window_sweep,N,16,5,15.204,1024000,2048,22.521
sr_window_sweep,N,32,1,9.611,1024000,2048,9.799
sr_window_sweep,N,32,2,10.122,1024000,2048,8.072
sr_window_sweep,N,32,3,9.804,1024000,2048,6.679
sr_window_sweep,N,32,4,9.212,1024000,2048,26.243
sr_window_sweep,N,32,5,9.759,1024000,2048,12.636
sr_window_sweep,N,64,1,5.962,1024000,2048,36.224
sr_window_sweep,N,64,2,6.078,1024000,2048,6.523
sr_window_sweep,N,64,3,5.874,1024000,2048,9.575
sr_window_sweep,N,64,4,6.087,1024000,2048,11.519
sr_window_sweep,N,64,5,6.318,1024000,2048,6.011
sr_window_sweep,N,128,1,4.133,1024000,2048,22.172
