experiment,parameter,value,run_index,duration_s,bytes_sent,segments_sent,rtt_ms
sr_loss_sweep,p,0.02,1,4.34,1024000,2048,16.498
sr_loss_sweep,p,0.02,2,4.109,1024000,2048,12.297
sr_loss_sweep,p,0.02,3,4.976,1024000,2048,13.606
sr_loss_sweep,p,0.02,4,5.358,1024000,2048,9.2
sr_loss_sweep,p,0.02,5,4.027,1024000,2048,8.158
sr_loss_sweep,p,0.03,1,5.235,1024000,2048,9.048
sr_loss_sweep,p,0.03,2,4.916,1024000,2048,15.183
sr_loss_sweep,p,0.03,3,5.067,1024000,2048,14.57
sr_loss_sweep,p,0.03,4,5.226,1024000,2048,7.385
sr_loss_sweep,p,0.03,5,4.899,1024000,2048,12.283
sr_loss_sweep,p,0.04,1,5.2,1024000,2048,16.798
sr_loss_sweep,p,0.04,2,5.826,1024000,2048,15.741
sr_loss_sweep,p,0.04,3,5.925,1024000,2048,13.654
sr_loss_sweep,p,0.04,4,6.374,1024000,2048,20.178
sr_loss_sweep,p,0.04,5,6.129,1024000,2048,13.872
sr_loss_sweep,p,0.05,1,6.402,1024000,2048,7.308
sr_loss_sweep,p,0.05,2,6.329,1024000,2048,7.809
sr_loss_sweep,p,0.05,3,6.866,1024000,2048,6.44
sr_loss_sweep,p,0.05,4,6.734,1024000,2048,8.734
sr_loss_sweep,p,0.05,5,5.947,1024000,2048,12.739
sr_loss_sweep,p,0.06,1,6.837,1024000,2048,13.255
sr_loss_sweep,p,0.06,2,6.74,1024000,2048,9.755
sr_loss_sweep,p,0.06,3,7.206,1024000,2048,12.581
sr_loss_sweep,p,0.06,4,6.625,1024000,2048,6.942
sr_loss_sweep,p,0.06,5,6.962,1024000,2048,12.902
sr_loss_sweep,p,0.07,1,7.299,1024000,2048,9.452
sr_loss_sweep,p,0.07,2,7.743,1024000,2048,12.407
sr_loss_sweep,p,0.07,3,8.076,1024000,2048,10.577
sr_loss_sweep,p,0.07,4,8.627,1024000,2048,13.898
sr_loss_sweep,p,0.07,5,6.885,1024000,2048,8.207
sr_loss_sweep,p,0.08,1,7.702,1024000,2048,14.286
sr_loss_sweep,p,0.08,2,7.962,1024000,2048,7.895
sr_loss_sweep,p,0.08,3,7.099,1024000,2048,13.287
sr_loss_sweep,p,0.08,4,7.52,1024000,2048,12.988
sr_loss_sweep,p,0.08,5,8.193,1024000,2048,6.997
sr_loss_sweep,p,0.09,1,8.254,1024000,2048,13.815
sr_loss_sweep,p,0.09,2,7.554,1024000,2048,12.868
sr_loss_sweep,p,0.09,3,7.917,1024000,2048,11.748
sr_loss_sweep,p,0.09,4,8.757,1024000,2048,11.487
sr_loss_sweep,p,0.09,5,8.864,1024000,2048,12.621
sr_loss_sweep,p,0.1,1,8.582,1024000,2048,13.518
sr_loss_sweep,p,0.1,2,7.869,1024000,2048,9.987
sr_loss_sweep,p,0.1,3,9.329,1024000,2048,14.35
sr_loss_sweep,p,0.1,4,7.838,1024000,2048,24.428
sr_loss_sweep,p,0.1,5,8.582,1024000,2048,8.383
