experiment,parameter,value,run_index,duration_s,bytes_sent,segments_sent,rtt_ms
mss_sweep,MSS,900,3,15.863,1024000,1138,38.128
mss_sweep,MSS,900,4,18.17,1024000,1138,36.425
mss_sweep,MSS,900,5,15.598,1024000,1138,33.698
mss_sweep,MSS,1000,1,11.005,1024000,1024,54.88
mss_sweep,MSS,1000,2,13.253,1024000,1024,40.922
mss_sweep,MSS,1000,3,11.467,1024000,1024,33.888
mss_sweep,MSS,1000,4,14.783,1024000,1024,36.367
mss_sweep,MSS,1000,5,10.473,1024000,1024,36.94
loss_sweep,p,0.01,1,6.237,1024000,2048,46.417
loss_sweep,p,0.01,2,5.334,1024000,2048,44.282
loss_sweep,p,0.01,3,7.447,1024000,2048,34.532
loss_sweep,p,0.01,4,5.888,1024000,2048,36.891
loss_sweep,p,0.01,5,5.82,1024000,2048,36.029
loss_sweep,p,0.02,1,8.593,1024000,2048,32.935
loss_sweep,p,0.02,2,9.43,1024000,2048,38.834
loss_sweep,p,0.02,3,9.139,1024000,2048,70.557
loss_sweep,p,0.02,4,12.711,1024000,2048,35.984
loss_sweep,p,0.02,5,10.832,1024000,2048,31.77
loss_sweep,p,0.03,1,14.588,1024000,2048,58.01
loss_sweep,p,0.03,2,14.569,1024000,2048,33.198
loss_sweep,p,0.03,3,10.149,1024000,2048,37.97
loss_sweep,p,0.03,4,14.418,1024000,2048,36.071
loss_sweep,p,0.03,5,16.22,1024000,2048,30.615
loss_sweep,p,0.04,1,17.472,1024000,2048,29.449
loss_sweep,p,0.04,2,16.49,1024000,2048,650.075
loss_sweep,p,0.04,3,22.858,1024000,2048,35.921
loss_sweep,p,0.04,4,20.783,1024000,2048,43.498
loss_sweep,p,0.04,5,18.866,1024000,2048,29.091
loss_sweep,p,0.05,1,20.806,1024000,2048,30.057
loss_sweep,p,0.05,2,30.531,1024000,2048,557.149
loss_sweep,p,0.05,3,25.323,1024000,2048,37.798
loss_sweep,p,0.05,4,26.54,1024000,2048,31.186
loss_sweep,p,0.05,5,25.246,1024000,2048,30.429
loss_sweep,p,0.06,1,28.248,1024000,2048,33.324
loss_sweep,p,0.06,2,30.938,1024000,2048,36.208
loss_sweep,p,0.06,3,27.453,1024000,2048,37.25
loss_sweep,p,0.06,4,30.502,1024000,2048,27.424
loss_sweep,p,0.06,5,31.117,1024000,2048,28.835
loss_sweep,p,0.07,1,30.567,1024000,2048,33.187
loss_sweep,p,0.07,2,29.479,1024000,2048,38.304
loss_sweep,p,0.07,3,35.643,1024000,2048,29.233
loss_sweep,p,0.07,4,35.062,1024000,2048,31.777
loss_sweep,p,0.07,5,37.621,1024000,2048,33.727
loss_sweep,p,0.08,1,46.363,1024000,2048,35.112
loss_sweep,p,0.08,2,43.87,1024000,2048,46.095
loss_sweep,p,0.08,3,39.936,1024000,2048,35.371
loss_sweep,p,0.08,4,37.255,1024000,2048,29.369
loss_sweep,p,0.08,5,39.655,1024000,2048,34.87
loss_sweep,p,0.09,1,50.105,1024000,2048,35.506
loss_sweep,p,0.09,2,46.384,1024000,2048,32.945
loss_sweep,p,0.09,3,46.844,1024000,2048,38.624
loss_sweep,p,0.09,4,45.443,1024000,2048,42.262
loss_sweep,p,0.09,5,46.158,1024000,2048,28.848
loss_sweep,p,0.1,1,50.235,1024000,2048,35.313
loss_sweep,p,0.1,2,50.971,1024000,2048,41.65
loss_sweep,p,0.1,3,48.237,1024000,2048,35.4
loss_sweep,p,0.1,4,55.871,1024000,2048,46.225
loss_sweep,p,0.1,5,55.996,1024000,2048,33.006
